,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,434,0,434,0,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,58734,1363,56869,502,0,0,0,0,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,65361,6310,58376,675,0,0,0,0,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,100785,9165,91079,541,0,0,0,0,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,56788,5296,50948,544,0,0,0,0,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,29186,2905,25817,464,0,0,0,0,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,57072,1815,54787,470,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2461,0,2461,0,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,50901,5631,44772,498,0,0,0,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,54264,2671,51139,454,0,0,0,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,40509,3120,37063,326,0,0,0,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,51049,3237,47365,447,0,0,0,0,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,36123,2435,33468,220,0,0,0,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,70133,6706,62967,460,0,0,0,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,45456,3746,41330,380,0,0,0,0,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,148,48,100,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,842,143,697,2,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,284,24,260,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,576,99,475,2,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,15,12,3,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,29,25,4,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,84,25,59,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,112,21,91,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,274,57,217,0,0,0,0,0,0,,
